Back,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,,,,,,SDG3,,SDG4.3,,SDG4.4,,SDG8.5,,,,
,,Gender Inequality Index,,,,Maternal mortality ratio,,Adolescent birth rate,,Share of seats in parliament,,Population with at least some secondary education,,,,Labour force participation rate ,,,a,,,,,,,,,,,,,,,
,,Value,,Rank,,"(deaths per 100,000 live births)",,"(births per 1,000 women ages 15–19)",,(% held by women),,(% ages 25 and older),,,,(% ages 15 and older),,,,,Human Development Index (HDI) ,,Life expectancy at birth,,Expected years of schooling,,Mean years of schooling,,Gross national income (GNI) per capita,,GNI per capita rank minus HDI rank,,HDI rank,
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,,,Value,,(years),,(years),,(years),,(2017 PPP $),,,,,
,,2021,,2021,,2017,,2021,,2021,,2021,b,2021,b,2021,,2021,,,2021,,2021,,2021,a,2021,a,2021,,2021,b,2020,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,
1,Switzerland,0.018,,3,,5,,2.2,,39.8,,96.9,,97.5,,61.7,,72.7,,,0.962,,84.0,,16.5,,13.9,,66933,,5,,3,
2,Norway,0.016,,2,,2,,2.3,,45.0,,99.1,,99.3,,60.3,,72.0,,,0.961,,83.2,,18.2,c,13.0,,64660,,6,,1,
3,Iceland,0.043,,8,,4,,5.4,,47.6,,99.8,,99.7,,61.7,,70.5,,,0.959,,82.7,,19.2,c,13.8,,55782,,11,,2,
4,"Hong Kong, China (SAR)",..,,..,,..,,1.6,,..,,77.1,,83.4,,53.5,,65.8,,,0.952,,85.5,d,17.3,,12.2,,62607,,6,,4,
5,Australia,0.073,,19,,6,,8.1,,37.9,,94.6,,94.4,,61.1,,70.5,,,0.951,,84.5,,21.1,c,12.7,,49238,,18,,5,
6,Denmark,0.013,,1,,4,,1.9,,39.7,,95.1,,95.2,,57.7,,66.7,,,0.948,,81.4,,18.7,c,13.0,,60365,,6,,5,
7,Sweden,0.023,,4,,4,,3.3,,47.0,,91.8,,92.2,,61.7,,68.0,,,0.947,,83.0,,19.4,c,12.6,,54489,,9,,9,
8,Ireland,0.074,,21,,5,,5.9,,27.3,,88.1,c,86.0,c,56.5,,68.6,,,0.945,,82.0,,18.9,c,11.6,e,76169,f,-3,,8,
9,Germany,0.073,,19,,7,,7.5,,34.8,,96.1,c,96.5,c,56.8,,66.0,,,0.942,,80.6,,17.0,,14.1,e,54534,,6,,7,
10,Netherlands,0.025,,5,,5,,2.8,,39.1,,89.8,,92.7,,62.4,,71.3,,,0.941,,81.7,,18.7,"c,e",12.6,,55979,,3,,10,
11,Finland,0.033,,6,,3,,4.2,,46.0,,99.0,,98.5,,56.5,,64.0,,,0.940,,82.0,,19.1,c,12.9,,49452,,11,,12,
12,Singapore,0.040,,7,,8,,2.6,,29.8,,80.5,,85.9,,59.4,,76.8,,,0.939,,82.8,,16.5,,11.9,,"90,919",f,-10,,10,
13,Belgium,0.048,,10,,5,,5.3,,42.9,,87.2,,89.7,,49.8,,58.8,,,0.937,,81.9,,19.6,c,12.4,,"52,293",,7,,16,
13,New Zealand,0.088,,25,,9,,12.6,,49.2,,82.0,,81.8,,65.1,,75.3,,,0.937,,82.5,,20.3,c,12.9,,"44,057",,16,,13,
15,Canada,0.069,,17,,10,,7.0,,34.4,,100.0,d,100.0,d,60.8,,69.7,,,0.936,,82.7,,16.4,,13.8,e,"46,808",,9,,15,
16,Liechtenstein,..,,..,,..,,3.0,,28.0,,..,,..,,..,,..,,,0.935,,83.3,,15.2,,12.5,g,"146,830","f,h",-15,,14,
17,Luxembourg,0.044,,9,,5,,4.3,,35.0,,100.0,e,100.0,e,58.5,,65.5,,,0.930,,82.6,,14.4,,13.0,i,"84,649",f,-13,,17,
18,United Kingdom,0.098,,27,,7,,10.5,,31.1,,99.8,,99.8,,58.0,,67.1,,,0.929,,80.7,,17.3,,13.4,,"45,225",,9,,17,
19,Japan,0.083,,22,,5,,2.9,,14.2,,95.9,,92.7,,53.3,,71.0,,,0.925,,84.8,,15.2,e,13.4,,"42,274",,12,,19,
19,Korea (Republic of),0.067,,15,,11,,2.2,,19.0,,83.1,c,93.1,c,53.4,,72.4,,,0.925,,83.7,,16.5,,12.5,e,"44,501",,9,,20,
21,United States,0.179,,44,,19,,16.0,,27.0,,96.5,,96.4,,55.2,,66.4,,,0.921,,77.2,,16.3,,13.7,,"64,765",,-14,,21,
22,Israel,0.083,,22,,3,,7.6,,28.3,,91.6,c,93.7,c,58.5,,66.1,,,0.919,,82.3,,16.1,,13.3,e,"41,524",,10,,22,
23,Malta,0.167,,42,,6,,11.5,,13.4,,82.2,,88.1,,53.1,,71.4,,,0.918,,83.8,,16.8,,12.2,,"38,884",,12,,26,
23,Slovenia,0.071,,18,,7,,4.5,,21.5,,97.6,,98.7,,53.8,,62.2,,,0.918,,80.7,,17.7,,12.8,,"39,746",,10,,23,
25,Austria,0.053,,12,,5,,5.5,,39.3,,100.0,d,100.0,d,55.5,,66.3,,,0.916,,81.6,,16.0,,12.3,,"53,619",,-8,,23,
26,United Arab Emirates,0.049,,11,,3,,3.1,,50.0,,82.0,,85.6,,46.5,,88.0,,,0.911,,78.7,,15.7,,12.7,,"62,574",,-15,,25,
27,Spain,0.057,,14,,4,,6.3,,42.3,,78.5,,83.2,,52.7,,62.4,,,0.905,,83.0,,17.9,,10.6,,"38,354",,10,,27,
28,France,0.083,,22,,8,,9.5,,37.8,,83.5,,87.9,,51.9,,59.7,,,0.903,,82.5,,15.8,,11.6,,"45,937",,-2,,28,
29,Cyprus,0.123,,35,,6,,6.8,,14.3,,81.1,,84.8,,56.6,,68.8,,,0.896,,81.2,,15.6,,12.4,,"38,188",,9,,29,
30,Italy,0.056,,13,,2,,4.0,,35.3,,78.6,,86.1,,39.9,,57.6,,,0.895,,82.9,,16.2,,10.7,,"42,840",,0,,32,
31,Estonia,0.100,,28,,9,,8.8,,25.7,,97.6,,98.1,,57.5,,70.2,,,0.890,,77.1,,15.9,,13.5,,"38,048",,8,,30,
32,Czechia,0.120,,34,,3,,9.7,,22.1,,99.8,,99.8,,51.7,,68.1,,,0.889,,77.7,,16.2,,12.9,,"38,745",,4,,30,
33,Greece,0.119,,32,,3,,8.5,,21.7,,69.9,,77.8,,43.3,,58.1,,,0.887,,80.1,,20.0,c,11.4,,"29,002",,17,,33,
34,Poland,0.109,,31,,2,,9.7,,27.5,,86.5,,90.7,,49.2,,65.5,,,0.876,,76.5,,16.0,,13.2,,"33,034",,8,,36,
35,Bahrain,0.181,,46,,14,,8.7,,18.8,,79.9,,83.1,,42.4,,83.5,,,0.875,,78.8,,16.3,,11.0,,"39,497",,-1,,35,
35,Lithuania,0.105,,30,,8,,10.4,,27.7,,95.5,,97.9,,57.3,,67.9,,,0.875,,73.7,,16.3,,13.5,,"37,931",,5,,34,
35,Saudi Arabia,0.247,,59,,17,,11.9,,19.9,,71.3,,80.9,,30.9,,80.1,,,0.875,,76.9,,16.1,,11.3,,"46,112",,-10,,38,
38,Portugal,0.067,,15,,8,,7.4,,40.0,,59.7,,61.9,,54.0,,62.2,,,0.866,,81.0,,16.9,,9.6,,"33,155",,3,,39,
39,Latvia,0.151,,40,,19,,11.2,,29.0,,99.7,c,99.3,c,54.5,,66.8,,,0.863,,73.6,,16.2,,13.3,,"32,803",,4,,37,
40,Andorra,..,,..,,..,,5.9,,46.4,,70.7,c,72.4,c,..,,..,,,0.858,,80.4,,13.3,j,10.6,e,"51,167",k,-19,,45,
40,Croatia,0.093,,26,,8,,8.6,,31.1,,97.0,c,100.0,c,45.9,,58.8,,,0.858,,77.6,,15.1,,12.2,e,"30,132",,8,,41,
42,Chile,0.187,,47,,13,,24.1,,32.7,,80.3,c,83.5,c,44.2,,65.5,,,0.855,,78.9,,16.7,,10.9,e,"24,563",,14,,43,
42,Qatar,0.220,,54,,9,,7.1,,4.4,,79.8,c,69.6,c,57.2,,95.5,,,0.855,,79.3,,12.6,,10.0,e,"87,134",f,-39,,42,
44,San Marino,..,,..,,..,,3.8,,33.3,,81.8,,84.3,,..,,..,,,0.853,,80.9,,12.3,,10.8,,"52,654",,-25,,46,
45,Slovakia,0.180,,45,,5,,26.3,,22.7,,98.9,,99.2,,54.7,,66.4,,,0.848,,74.9,,14.5,,12.9,,"30,690",,1,,40,
46,Hungary,0.221,,55,,12,,22.1,,13.1,,97.6,,98.8,,52.1,,67.2,,,0.846,,74.5,,15.0,e,12.2,,"32,789",,-2,,44,
47,Argentina,0.287,,69,,39,,39.1,,44.4,,71.0,f,71.4,f,50.0,,71.6,,,0.842,,75.4,,17.9,,11.1,e,"20,925",,17,,47,
48,Türkiye,0.272,,65,,17,,16.9,,17.3,,56.3,,75.9,,31.8,,69.4,,,0.838,,76.0,,18.3,c,8.6,,"31,033",,-3,,48,
